CODE_UIC;LIBELLE;long;lat
0087715433;Morbier;6.0176446;46.5392164
0087715144;La Rivière-Drugeon;6.2133331;46.8701507
0087713826;Ruffey-lès-Echirey;5.079358;47.370587
0087713651;Saint-Jean-de-Losne;5.2441226;47.0997302
0087713628;Saulon;5.1045991;47.224035
0087713594;Santenay les Bains;4.7017523;46.9106752
0087713560;Meursault;4.7954444;46.9690497
0087713529;Nuits-Saint-Georges;4.956204;47.130545
0087713339;Villers-les-Pots;5.3478716;47.2066023
0087713313;Genlis;5.223406;47.244579
0087713065;Mâlain;4.8105362;47.3270025
0087713040;Dijon;5.027208;47.323370
0087712265;Bretigny - Norges;5.1105838;47.390044
0087712182;Neuilly-lès-Dijon;5.1111983;47.2815829
0087696856;Châtel-Censoir;3.6350455;47.5377695
0087696831;Coulanges-sur-Yonne;3.5472388;47.5270546
0087696617;Corbigny;3.6773226;47.254807
0087696450;Imphy;3.2597113;46.9333537
0087696179;Pouilly-sur-Loire;2.9660634;47.2821696
0087694778;Chauffailles;4.3454278;46.2074552
0087694646;Ciry-le-Noble;4.2997146;46.6040913
0087694620;Montceau-les-Mines;4.3610264;46.6706636
0087694166;Broye;4.2960996;46.8619444
0087686030;Paris Gare de Lyon RER;2.373520;48.844888
0087684217;Souppes - Château-Landon;2.734971;48.181907
0087683722;Sermizelles - Vézelay;3.7928695;47.5289068
0087683680;Arcy-sur-Cure;3.7668885;47.6008461
0087683672;Lucy-sur-Cure - Bessy;3.7458789;47.6281383
0087683649;Cravant - Bazarnes;3.6811741;47.6785079
0087683615;Champs - Saint-Bris;3.6034756;47.7388182
0087683607;Augy Vaux;3.6111818;47.7663393
0087683136;Pont-sur-Yonne;3.201463;48.286287
0087683003;Sens;3.267833;48.197856
0087682500;Vosves;2.5991469;48.5151115
0087682450;Champagne-sur-Seine;2.799184;48.406531
0087682419;Chartrettes;2.6950059;48.4870771
0087682401;Livry-sur-Seine;2.6788796;48.5104579
0087681627;Le Plessis Chenet;2.479586;48.5735652
0087681403;Moulin Galant;2.47332;48.58626
0087681346;Orangis Bois de l'Épine;2.407736;48.636260
0087673699;Bidarray Pont Noblia;-1.3453233;43.2682991
0087673665;Itxassou;-1.3956111;43.324043
0087673293;Labenne;-1.4288712;43.5870509
0087673269;Saint-Geours-de-Maremne;-1.2412599;43.6713719
0087672709;Ogeu-les-Bains;-0.5076467;43.153939
0087672618;Gan;-0.391462;43.2335932
0087672162;Assat;-0.2950176;43.2543993
0087671495;Saint-Martin-d'Oney;-0.6516933;43.9301115
0087671362;Saint-Pé-de-Bigorre;-0.1619763;43.1015768
0087671339;Lourdes;-0.042174;43.100370
0087671008;Tarbes;0.069415;43.239955
0087645473;Le Lioran;2.7533365;45.0905458
0087645150;Lacapelle-Viescamp;2.2654689;44.9202424
0087641316;Pontgibaud;2.8458031;45.8210001
0087618116;Pins-Justaret;1.399645;43.479213
0087618082;Golfech;0.854688;44.1160495
0087618058;Pommevic;0.9333201;44.1021631
0087615773;Luc-la-Primaube;2.5544751;44.2913982
0087615732;Naucelle;2.363504;44.1854793
0087615351;Roquesérière - Buzet;1.6198753;43.7512472
0087615328;Rabastens - Coufouleux;1.730567;43.819751
0087615310;Lisle-sur-Tarn;1.80823;43.85639
0087615245;Tessonnières;1.9369531;43.9284209
0087615146;Pomas;2.2892273;43.1123875
0087615138;Verzeille;2.3212626;43.1304633
0087615054;Bram;2.1191467;43.2441014
0087615013;Villefranche-de-Lauragais;1.714725;43.398537
0087613877;Salles-Courbatiès;2.0787662;44.4751593
0087613604;Bagnac-sur-Célé;2.1602503;44.6652105
0087613422;Rodez;2.580560;44.362633
0087613232;Cransac;2.2718666;44.522951
0087613141;Gourdon;1.389237;44.7419445
0087613000;Cahors;1.433325;44.449275
0087612028;Labège Village;1.5329207;43.5305367
0087612002;Labège Innopole;1.5129784;43.5473613
0087611921;Colomiers Lycée International;1.3141157;43.6163055
0087611822;Brax - Léguevin;1.236922;43.614887
0087611772;Gimont Cahuzac;0.8676246;43.6330525
0087611707;Escalquens;1.5422774;43.5170958
0087611517;L'Hospitalet-près-l'Andorre;1.8002635;42.5894535
0087611392;Venerque - Vernet;1.426079;43.433361
0087611384;Auterive;1.468831;43.348993
0087611111;Lestelle-de-Saint-Martory;0.9132139;43.1188355
0087611079;Cazères;1.083106;43.212834
0087611061;Carbonne;1.212531;43.298206
0087611038;Muret;1.324449;43.464824
0087597849;Felletin;2.169543;45.8864021
0087597104;Lothiers;1.5629763;46.6946801
0087597062;Issoudun;1.985834;46.948763
0087597039;Reuilly;2.0474783;47.0853677
0087595892;Villefranche-du-Périgord;1.0490908;44.6270124
0087595744;Le Bugue;0.942795;44.9056892
0087595736;Les Eyzies-de-Tayac-Sireuil;1.0081942;44.9411916
0087595249;Saint-Astier;0.522808;45.139027
0087594820;Masseret;1.5415396;45.536175
0087594762;Bretenoux - Biars;1.8436871;44.9273692
0087594663;Pompadour;1.3871677;45.3952807
0087594630;Objat;1.4068293;45.2647335
0087594606;Varetz;1.4472859;45.1911631
0087594234;Allassac;1.4731471;45.2589385
0087594085;Jassonneix;2.1393366;45.5434698
0087592840;Coussac-Bonneval;1.3110412;45.5076088
0087592634;L'Aiguille;1.2049024;45.7783702
0087592501;La Coquille;0.9744005;45.5408509
0087592188;Barsanges;2.0188676;45.5661652
0087592105;Châteauneuf - Bujaleuf;1.6453027;45.759316
0087584714;Vayres;-0.31686;44.89717
0087584268;Bergerac;0.489174;44.857061
0087584151;Lamothe-Montravel;0.0215683;44.8537384
0087583849;Ruffec;0.1902055;46.0305185
0087583005;Angoulême;0.164608;45.653572
0087582825;Saint-Macaire;-0.2270601;44.5686216
0087582759;Barsac;-0.3215775;44.6054306
0087582692;Saint-Médard-d'Eyrans;-0.5057172;44.7168571
0087582536;Ychoux;-0.9460318;44.3292659
0087582403;Gazinet Cestas;-0.69949;44.772218
0087581314;Lesparre-Médoc;-0.9454015;45.3035166
0087581231;Moulis - Listrac;-0.7447365;45.0840273
0087581199;Macau;-0.6200068;45.0040981
0087576876;Gièvres;1.6678267;47.2787925
0087576868;Selles-sur-Cher;1.5461989;47.2816956
0087576728;Mennetou-sur-Cher;1.8765238;47.2688835
0087576348;Urçay - La Perche;2.5865708;46.6295123
